Entity,Code,Year,WageGap
Australia,AUS,2016,14.3
Australia,AUS,2015,13
Australia,AUS,2014,15.4
Australia,AUS,2013,18
Australia,AUS,2012,13.8
Australia,AUS,2011,16
Australia,AUS,2010,14
Australia,AUS,2009,16.4
Australia,AUS,2008,11.9
Australia,AUS,2007,15.4
Australia,AUS,2006,16.7
Australia,AUS,2005,15.8
Australia,AUS,2004,14.4
Australia,AUS,2003,13
Australia,AUS,2002,15
Australia,AUS,2001,14.3
Australia,AUS,2000,17.2
Australia,AUS,1999,14.3
Australia,AUS,1998,13.2
Australia,AUS,1997,15.3
Australia,AUS,1995,14.5
Australia,AUS,1994,14.4
Australia,AUS,1993,13.2
Australia,AUS,1992,14.3
Australia,AUS,1991,16
Australia,AUS,1990,18.2
Australia,AUS,1989,18.6
Australia,AUS,1988,18.8
Australia,AUS,1987,18.5
Australia,AUS,1986,18.8
Australia,AUS,1985,19.6
Australia,AUS,1984,18.7
Australia,AUS,1983,19.2
Australia,AUS,1982,20.8
Australia,AUS,1981,18.3
Australia,AUS,1980,18.8
Australia,AUS,1979,20
Australia,AUS,1978,19.8
Australia,AUS,1977,18.4
Australia,AUS,1976,20.8
Australia,AUS,1975,21.6
Canada,CAN,2015,18.6
Canada,CAN,2014,19.2
Canada,CAN,2013,19.3
Canada,CAN,2012,19.5
Canada,CAN,2011,19.2
Canada,CAN,2010,19
Canada,CAN,2009,20.1
Canada,CAN,2008,20.5
Canada,CAN,2007,20.8
Canada,CAN,2006,21.1
Canada,CAN,2005,21.3
Canada,CAN,2004,22.7
Canada,CAN,2003,22.5
Canada,CAN,2002,24
Canada,CAN,2001,24.3
Canada,CAN,2000,23.9
Canada,CAN,1999,24
Canada,CAN,1998,24.9
Canada,CAN,1997,24.7
Finland,FIN,2015,18.1
Finland,FIN,2014,19.6
Finland,FIN,2013,20.2
Finland,FIN,2012,18.7
Finland,FIN,2011,18.6
Finland,FIN,2010,18.9
Finland,FIN,2009,19.7
Finland,FIN,2008,21.2
Finland,FIN,2007,21.4
Finland,FIN,2006,19.4
Finland,FIN,2005,18.9
Finland,FIN,2004,20
Finland,FIN,2003,20.1
Finland,FIN,2002,20.4
Finland,FIN,2001,21.2
Finland,FIN,2000,20.4
Finland,FIN,1999,21.7
Finland,FIN,1998,20.8
Finland,FIN,1997,21.3
Finland,FIN,1996,20.6
Finland,FIN,1995,22.4
Finland,FIN,1994,23.1
Finland,FIN,1993,22
Finland,FIN,1992,20.3
Finland,FIN,1991,21.5
Finland,FIN,1990,22.9
Finland,FIN,1989,23.6
Finland,FIN,1988,23
Finland,FIN,1987,23.6
Finland,FIN,1986,22.5
Finland,FIN,1984,23.4
Finland,FIN,1983,25.6
Finland,FIN,1982,26
Finland,FIN,1980,26.6
Finland,FIN,1979,27.2
Finland,FIN,1978,27.1
Finland,FIN,1977,27.7
