Entity,Code,Year,WageGap,GDPPerCapita,Population
Argentina,ARG,2014,-3.62,19802.10001,42638000
Austria,AUT,2014,22.22,48787.49159,8615000
Belgium,BEL,2014,6.54,44601.36711,11221000
Belize,BLZ,2016,-20.03,8540.40422,368000
Bolivia,BOL,2014,6.18,6662.829762,10707000
Brazil,BRA,2014,15.97,16195.87112,202764000
Brunei,BRN,2014,2.74,80155.54299,410000
Bulgaria,BGR,2014,12.66,17508.8855,7246000
Cyprus,CYP,2014,14.15,30383.51482,1152000
Czech Republic,CZE,2016,20.61,34749.21236,10619000
Denmark,DNK,2014,15.96,47901.44758,5664000
El Salvador,SLV,2014,-5.26,7258.967543,6295000
Estonia,EST,2014,28.16,28538.42864,1316000
France,FRA,2014,15.5,40141.59032,64194000
Guatemala,GTM,2014,0.68,7529.392068,15923000
Honduras,HND,2014,-15.05,4457.449578,8956000
Hungary,HUN,2014,15.12,25524.71762,9805000
Ireland,IRL,2014,13.93,50994.30614,4627000
Israel,ISR,2015,15.1,35888.87589,7978000
Italy,ITA,2014,6.12,36070.8056,60410000
Latvia,LVA,2014,17.38,23808.01488,2021000
Lithuania,LTU,2014,13.29,28174.36352,2971000
Luxembourg,LUX,2014,5.38,101640.0534,555000
Macedonia,MKD,2014,9.15,13370.02058,2078000
Malaysia,MYS,2015,-2.25,26623.32837,30271000
Mexico,MEX,2014,6.65,17481.91639,120355000
Montenegro,MNE,2014,7.78,15371.14134,627000
Netherlands,NLD,2014,16.07,48606.25361,16893000
Nicaragua,NIC,2014,2.62,5040.53463,6143000
Norway,NOR,2014,14.45,66015.4403,5142000
Pakistan,PAK,2016,10.81,5238.213529,203631008
Paraguay,PRY,2015,-1.77,9199.669384,6689000
Peru,PER,2014,20.51,12164.9573,30090000
Poland,POL,2014,7.73,25602.41744,38091000
Portugal,PRT,2016,8.54,30658.632,10326000
Romania,ROU,2016,6.61,23050.01033,19796000
Russia,RUS,2015,24.42,24737.68944,144984992
Serbia,SRB,2014,8.72,13771.38428,8898000
Slovakia,SVK,2015,19.1,29522.04477,5436000
South Korea,KOR,2016,33.59,36629.8646,50983000
Spain,ESP,2014,12.5,33709.64924,46778000
Switzerland,CHE,2014,17.38,61902.16241,8206000
Thailand,THA,2016,-21.57,16937.92689,68971000
Turkey,TUR,2014,-1.26,24029.74348,77229000
United Kingdom,GBR,2015,20.59,41579.86341,65860000
Uruguay,URY,2014,8.62,20887.16177,3400000
Vietnam,VNM,2016,10.71,6295.590585,93640000
